Account Type;Member Tags;User Tags;RSVP'ed;Registration Date;Registration Option;Are you an IE Alumni?;Year of graduation;Degree;Section (please, type N/A if this is not applicable to your program);Country;I'm interested in networking around ... (please choose one);Please let us know if you have any allergies or dietary restrictions:;Which roles are you most interested in? (Mark all that apply);Attendee's Comment;Officer's Notes;Paid;Quantity;Payment Status;Payment Date;Checked-In Date;Gateway Number;Event Registration UID;Unnamed: 40
Alumni;"""Club Leader,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/26/2024 5:51:35 PM;Club Leaders;Yes;2015;International MBA;April2014;Canada;International Development and Social Impact ;bad food lol;;;;50.0;1.0;COMPLETE;1/26/2024 4:48:43 PM;06/07/2024 16:19;ewsyjmha;c3e1d400-bc6a-11ee-b416-0a31732c095b;
Alumni;"""Club Leader,FRIDAY June 7th,SATURDAY 8 de junio,GALA""";"""Programa Master_en,English,associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/26/2024 5:51:35 PM;Gala Dinner Spring Sale Ticket - ENDED;No;2015;International MBA;;Canada;;;;;;179.0;1.0;COMPLETE;1/31/2024 12:47:35 AM;6/18/2024 12:55:55 PM;aaqnxgf7;c3e1d400-bc6a-11ee-b416-0a31732c095b;
Alumni;"""FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""MAJ-PWC,SWITZERLAND,Programa Master_en,English,non_associate,Madrid,Alumni,Programa Master Oficial_en,MDE (OF),GAW 24,Last Online after 2020""";Yes;1/29/2024 4:14:59 PM;Club Leaders;Yes;2009;Master en Asesoría Jurídica/Fiscal IE/PWC Tax and Legal Services;Fiscal;Switzerland;Real Estate / Arquitecture / Design;No;;;;50.0;1.0;COMPLETE;1/29/2024 3:12:03 PM;06/07/2024 19:13;80m7s0rg;c2013a56-beb8-11ee-af10-0a31732c095b;
Alumni;"""FRIDAY June 7th,SATURDAY 8 de junio,GALA GUEST,GALA""";"""MIM-English,Programa Master_en,English,non_associate,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/29/2024 5:21:24 PM;Club Leaders;Yes;2014;Master in Management;English, Sales & Marketing;India;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;50.0;1.0;COMPLETE;1/29/2024 4:19:25 PM;06/07/2024 16:59;ewbmk3y6;2b287541-bec2-11ee-af10-0a31732c095b;
Alumni;"""FRIDAY June 7th,SATURDAY 8 de junio,GALA GUEST,GALA""";"""MIM-English,Programa Master_en,English,non_associate,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/29/2024 5:21:24 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2014;Master in Management;Sales & Marketing;India;;Sesame seeds;;;;179.0;1.0;COMPLETE;5/16/2024 3:58:41 PM;6/19/2024 11:55:39 AM;ee07ga17;2b287541-bec2-11ee-af10-0a31732c095b;
Alumni;"""FRIDAY June 7th,SATURDAY 8 de junio,GALA GUEST,GALA""";"""MIM-English,Programa Master_en,English,non_associate,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/29/2024 5:21:24 PM;Gala Dinner Spring Sale Ticket - ENDED;No;Not applicable;;;India;;Lactose Intolerant ;;;;179.0;1.0;COMPLETE;5/16/2024 3:58:41 PM;6/18/2024 5:43:08 PM;ee07ga17;2b287541-bec2-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""COSTA RICA,Programa Master_en,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;1/29/2024 7:09:07 PM;KIDS AREA TICKET;;;;;;;;;;;40.0;1.0;COMPLETE;1/29/2024 6:07:53 PM;06/07/2024 16:01;4shrht1h;4ccc2498-bed0-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,SATURDAY 8 de junio""";"""COSTA RICA,Programa Master_en,non_associate,Alumni,GAW 24,Last Online after 2020""";Yes;1/29/2024 7:09:07 PM;GAW early bird ticket - ENDED;Yes;2014;International MBA;A1;Costa Rica;Finance;;;;;99.0;1.0;COMPLETE;1/30/2024 1:31:44 PM;06/07/2024 16:01;mk9w8hs5;4ccc2498-bed0-11ee-af10-0a31732c095b;
Alumni;"""Club Leader,FRIDAY GUEST,SATURDAY 8 de junio,FRIDAY June 7th,GALA""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,Alumni,IXMBABW,GAW 24,Last Online after 2020""";Yes;1/29/2024 7:12:20 PM;Club Leaders;Yes;2008;International Executive MBA Bi-weekly;;United States Of America;Diversified Industries (FMCG, Healthcare, Industrial, Luxury, Retail, Pharma, Energy, Hospitality, Sports, etc.);;;;;50.0;1.0;COMPLETE;1/29/2024 6:09:41 PM;06/07/2024 16:39;kxxeza1x;92c7eaf4-bed1-11ee-af10-0a31732c095b;
Alumni;"""Club Leader,FRIDAY GUEST,SATURDAY 8 de junio,FRIDAY June 7th,GALA""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,Alumni,IXMBABW,GAW 24,Last Online after 2020""";Yes;1/29/2024 7:12:20 PM;Gala Dinner Spring Sale Ticket - ENDED;Yes;2008;IXMBA;;United States Of America;;;;;;179.0;1.0;COMPLETE;1/29/2024 6:09:41 PM;6/19/2024 11:39:52 AM;kxxeza1x;92c7eaf4-bed1-11ee-af10-0a31732c095b;
Alumni;"""IMBA Nov 2013,FRIDAY June 7th""";"""UNITED STATES OF AMERICA,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG""";Yes;1/29/2024 10:32:51 PM;Club Leaders;Yes;2014;International MBA;N5;United States Of America;Finance;;;;;50.0;1.0;COMPLETE;1/29/2024 9:29:29 PM;06/07/2024 16:47;jv6bjcwb;7c768955-beed-11ee-af10-0a31732c095b;
Alumni;"""Club Leader,FRIDAY June 7th,SATURDAY 8 de junio,SUNDAY 9 de junio""";"""SPAIN,Degree,English,non_associate,BAR SEP-2016,Madrid,Alumni,GAW 24,Last Online after 2020""";Yes;1/30/2024 11:26:22 AM;Club Leaders;Yes;2021;Bachelor in Architecture ;;Spain;Real Estate / Arquitecture / Design;I do not eat pork. ;;;;50.0;1.0;COMPLETE;1/30/2024 10:24:50 AM;06/07/2024 16:27;8nryev70;cca4dbfb-bf59-11ee-af10-0a31732c095b;
Alumni;"""IMBA April 2013,Visibility YES,FRIDAY June 7th,FRIDAY GUEST,SATURDAY 8 de junio,SATURDAY GUEST,SUNDAY 9 de junio,SUNDAY GUEST,GALA,GALA GUEST""";"""IRELAND,Programa Master_en,English,non_associate,Madrid,Alumni,IMBA-ENG,GAW 24,Last Online after 2020""";Yes;1/30/2024 12:55:43 PM;Class Reunion Committee Members;Yes;2014;International MBA;A1;Ireland;Finance;;;;;65.0;1.0;COMPLETE;1/30/2024 11:44:24 AM;06/07/2024 15:38;3je0kgt4;082c20d6-bf63-11ee-af10-0a31732c095b;
